spouse,domestic partner,person,organism,living thing
squabbler,malcontent,person,organism,living thing
square shooter,good person,person,organism,living thing
stainer,worker,person,organism,living thing
stakeholder,neutral,person,organism,living thing
Stalinist,follower,person,organism,living thing
standardizer,changer,person,organism,living thing
stand-in,peer,person,organism,living thing
stay-at-home,adult,person,organism,living thing
steward,fiduciary,person,organism,living thing
stockjobber,stock trader,trader,merchant,businessperson
strategist,planner,person,organism,living thing
strike leader,leader,person,organism,living thing
student,enrollee,person,organism,living thing
stupid,simpleton,person,organism,living thing
subjectivist,intellectual,person,organism,living thing
submitter,follower,person,organism,living thing
subnormal,simpleton,person,organism,living thing
successor,peer,person,organism,living thing
suffragan,bishop,priest,Holy Order,status
suffragist,advocate,person,organism,living thing
sultan,ruler,person,organism,living thing
superior,leader,person,organism,living thing
supporter,advocate,person,organism,living thing
supremacist,advocate,person,organism,living thing
surpriser,captor,person,organism,living thing
surveyor,engineer,person,organism,living thing
survivor,unfortunate,person,organism,living thing
sweetheart,lover,person,organism,living thing
swot,learner,person,organism,living thing
sympathizer,communicator,person,organism,living thing
synthesist,intellectual,person,organism,living thing
tacker,worker,person,organism,living thing
tactician,planner,person,organism,living thing
tagalong,follower,person,organism,living thing
tease,unwelcome person,person,organism,living thing
teaser,worker,person,organism,living thing
technocrat,expert,person,organism,living thing
teleologist,advocate,person,organism,living thing
telepathist,communicator,person,organism,living thing
tellurian,inhabitant,person,organism,living thing
temp,worker,person,organism,living thing
temporizer,delayer,person,organism,living thing
toiler,worker,person,organism,living thing
testatrix,testator,person,organism,living thing
Thatcherite,advocate,person,organism,living thing
theorist,intellectual,person,organism,living thing
therapist,expert,person,organism,living thing
thinker,intellectual,person,organism,living thing
thoroughbred,adult,person,organism,living thing
throwster,worker,person,organism,living thing
tiler,worker,person,organism,living thing
tinkerer,unskilled person,person,organism,living thing
titterer,laugher,person,organism,living thing
topper,worker,person,organism,living thing
torchbearer,leader,person,organism,living thing
tosser,masturbator,person,organism,living thing
tourist,traveler,person,organism,living thing
towhead,blond,person,organism,living thing
townsman,peer,person,organism,living thing
tracer,detective,policeman,lawman,defender
trade unionist,worker,person,organism,living thing
trainer,leader,person,organism,living thing
trampler,bad person,person,organism,living thing
transient,traveler,person,organism,living thing
treasurer,money handler,person,organism,living thing
trekker,traveler,person,organism,living thing
Trinidadian,inhabitant,person,organism,living thing
tripper,drug user,person,organism,living thing
tritheist,religious person,person,organism,living thing
trouper,good person,person,organism,living thing
troublemaker,unwelcome person,person,organism,living thing
trustee,fiduciary,person,organism,living thing
tutee,learner,person,organism,living thing
twaddler,communicator,person,organism,living thing
twerp,simpleton,person,organism,living thing
twiner,worker,person,organism,living thing
undesirable,unwelcome person,person,organism,living thing
unemployed person,nonworker,person,organism,living thing
unilateralist,advocate,person,organism,living thing
usufructuary,user,person,organism,living thing
utilizer,user,person,organism,living thing
vacationer,nonworker,person,organism,living thing
vassal,follower,person,organism,living thing
vermin,bad person,person,organism,living thing
vicar apostolic,bishop,priest,Holy Order,status
victim,unfortunate,person,organism,living thing
victimizer,bad person,person,organism,living thing
victor,combatant,person,organism,living thing
villager,inhabitant,person,organism,living thing
villain,unwelcome person,person,organism,living thing
virgin,innocent,person,organism,living thing
visitor,traveler,person,organism,living thing
visualizer,perceiver,person,organism,living thing
voluptuary,sensualist,person,organism,living thing
voyager,traveler,person,organism,living thing
vulgarizer,debaser,person,organism,living thing
waffler,communicator,person,organism,living thing
Wagnerian,follower,person,organism,living thing
wallah,worker,person,organism,living thing
wanderer,traveler,person,organism,living thing
Wandering Jew,Jew,person,organism,living thing
wanton,sensualist,person,organism,living thing
washer,worker,person,organism,living thing
waver,communicator,person,organism,living thing
wearer,user,person,organism,living thing
weeper,unfortunate,person,organism,living thing
westerner,inhabitant,person,organism,living thing
wild man,primitive,person,organism,living thing
wimp,weakling,person,organism,living thing
winder,worker,person,organism,living thing
winner,contestant,person,organism,living thing
wiper,worker,person,organism,living thing
wirer,communicator,person,organism,living thing
withstander,adversary,person,organism,living thing
wog,person of color,person,organism,living thing
woman,adult,person,organism,living thing
wonderer,intellectual,person,organism,living thing
workaholic,compulsive,person,organism,living thing
workmate,worker,person,organism,living thing
wrestler,combatant,person,organism,living thing
writer,communicator,person,organism,living thing
young person,juvenile,person,organism,living thing
Zealot,Jew,person,organism,living thing
Zionist,Jew,person,organism,living thing
photochemical exchange,exchange,chemical phenomenon,natural phenomenon,phenomenon
absorption band,optical phenomenon,physical phenomenon,natural phenomenon,phenomenon
activation energy,energy,physical phenomenon,natural phenomenon,phenomenon
aerosol,cloud,physical phenomenon,natural phenomenon,phenomenon
air pocket,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
alternative energy,energy,physical phenomenon,natural phenomenon,phenomenon
metagenesis,alternation of generations,organic phenomenon,natural phenomenon,phenomenon
amperage,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
atomic energy,energy,physical phenomenon,natural phenomenon,phenomenon
binding energy,energy,physical phenomenon,natural phenomenon,phenomenon
brainwave,bioelectricity,organic phenomenon,natural phenomenon,phenomenon
capacitance,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
elastance,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
capillarity,surface tension,physical phenomenon,natural phenomenon,phenomenon
pyroelectricity,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
chemical energy,energy,physical phenomenon,natural phenomenon,phenomenon
cosmic dust,cloud,physical phenomenon,natural phenomenon,phenomenon
dust cloud,cloud,physical phenomenon,natural phenomenon,phenomenon
current,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
lode,deposit,geological phenomenon,natural phenomenon,phenomenon
diffraction,optical phenomenon,physical phenomenon,natural phenomenon,phenomenon
dielectric heating,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
galvanism,electricity,physical phenomenon,natural phenomenon,phenomenon
energy level,energy,physical phenomenon,natural phenomenon,phenomenon
rest energy,energy,physical phenomenon,natural phenomenon,phenomenon
flash flood,flood,geological phenomenon,natural phenomenon,phenomenon
Noah's flood,flood,geological phenomenon,natural phenomenon,phenomenon
greenhouse effect,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
inversion,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
storm,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
heat,energy,physical phenomenon,natural phenomenon,phenomenon
hydroelectricity,electricity,physical phenomenon,natural phenomenon,phenomenon
angular velocity,speed,rate,magnitude relation,relation
leverage,mechanical phenomenon,physical phenomenon,natural phenomenon,phenomenon
atmospheric electricity,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
nuclear resonance,resonance,physical phenomenon,natural phenomenon,phenomenon
magnetic resonance,resonance,physical phenomenon,natural phenomenon,phenomenon
trajectory,mechanical phenomenon,physical phenomenon,natural phenomenon,phenomenon
mechanical energy,energy,physical phenomenon,natural phenomenon,phenomenon
midnight sun,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
optical opacity,opacity,physical phenomenon,natural phenomenon,phenomenon
radiopacity,opacity,physical phenomenon,natural phenomenon,phenomenon
optical illusion,optical phenomenon,physical phenomenon,natural phenomenon,phenomenon
photoelectricity,electricity,physical phenomenon,natural phenomenon,phenomenon
piezoelectricity,electricity,physical phenomenon,natural phenomenon,phenomenon
pleochroism,optical phenomenon,physical phenomenon,natural phenomenon,phenomenon
polarization,optical phenomenon,physical phenomenon,natural phenomenon,phenomenon
single nucleotide polymorphism,polymorphism,organic phenomenon,natural phenomenon,phenomenon
electric potential,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
gas pressure,pressure,physical phenomenon,natural phenomenon,phenomenon
hydrostatic head,pressure,physical phenomenon,natural phenomenon,phenomenon
intraocular pressure,pressure,physical phenomenon,natural phenomenon,phenomenon
oil pressure,pressure,physical phenomenon,natural phenomenon,phenomenon
osmotic pressure,pressure,physical phenomenon,natural phenomenon,phenomenon
radiation pressure,pressure,physical phenomenon,natural phenomenon,phenomenon
sound pressure,pressure,physical phenomenon,natural phenomenon,phenomenon
radiant energy,energy,physical phenomenon,natural phenomenon,phenomenon
radiation,energy,physical phenomenon,natural phenomenon,phenomenon
double refraction,refraction,physical phenomenon,natural phenomenon,phenomenon
conductance,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
electric resistance,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
reactance,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
reluctance,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
meteor shower,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
skin effect,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
electrical conduction,conduction,physical phenomenon,natural phenomenon,phenomenon
electrical disturbance,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
static electricity,electricity,physical phenomenon,natural phenomenon,phenomenon
dynamic electricity,electricity,physical phenomenon,natural phenomenon,phenomenon
thermoelectricity,electricity,physical phenomenon,natural phenomenon,phenomenon
suction,pressure,physical phenomenon,natural phenomenon,phenomenon
afterglow,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
interfacial tension,surface tension,physical phenomenon,natural phenomenon,phenomenon
vapor pressure,pressure,physical phenomenon,natural phenomenon,phenomenon
voltage,electrical phenomenon,physical phenomenon,natural phenomenon,phenomenon
weather,atmospheric phenomenon,physical phenomenon,natural phenomenon,phenomenon
parallax,optical phenomenon,physical phenomenon,natural phenomenon,phenomenon
Tyndall effect,optical phenomenon,physical phenomenon,natural phenomenon,phenomenon
ascocarp,fruiting body,plant organ,plant part,natural object
acervulus,fruiting body,plant organ,plant part,natural object
basidiocarp,fruiting body,plant organ,plant part,natural object
moss,bryophyte,nonvascular organism,organism,living thing
liverwort,bryophyte,nonvascular organism,organism,living thing
agamete,reproductive structure,plant organ,plant part,natural object
gleba,reproductive structure,plant organ,plant part,natural object
hymenium,reproductive structure,plant organ,plant part,natural object
sporocarp,reproductive structure,plant organ,plant part,natural object
gnetum,gymnospermous tree,tree,woody plant,vascular plant
mahuang,ephedra,shrub,woody plant,vascular plant
zamia,cycad,gymnosperm,spermatophyte,vascular plant
ceratozamia,cycad,gymnosperm,spermatophyte,vascular plant
dioon,cycad,gymnosperm,spermatophyte,vascular plant
encephalartos,cycad,gymnosperm,spermatophyte,vascular plant
kaffir bread,cycad,gymnosperm,spermatophyte,vascular plant
macrozamia,cycad,gymnosperm,spermatophyte,vascular plant
burrawong,cycad,gymnosperm,spermatophyte,vascular plant
larch,wood,plant material,material,substance
fir,wood,plant material,material,substance
spruce,wood,plant material,material,substance
cypress,wood,plant material,material,substance
redwood,wood,plant material,material,substance
sandarac,wood,plant material,material,substance
yellowwood,wood,plant material,material,substance
parasite yew,parasitic plant,parasite,organism,living thing
yew,wood,plant material,material,substance
ginkgo,gymnospermous tree,tree,woody plant,vascular plant
bloomer,flower,angiosperm,spermatophyte,vascular plant
stamen,reproductive structure,plant organ,plant part,natural object
anther,reproductive structure,plant organ,plant part,natural object
pistil,reproductive structure,plant organ,plant part,natural object
stigma,reproductive structure,plant organ,plant part,natural object
ovary,reproductive structure,plant organ,plant part,natural object
ovule,reproductive structure,plant organ,plant part,natural object
placenta,reproductive structure,plant organ,plant part,natural object
testa,reproductive structure,plant organ,plant part,natural object
endosperm,reproductive structure,plant organ,plant part,natural object
gemma,reproductive structure,plant organ,plant part,natural object
cataphyll,leaf,plant organ,plant part,natural object
floral leaf,leaf,plant organ,plant part,natural object
lancewood,wood,plant material,material,substance
American barberry,barberry,shrub,woody plant,vascular plant
common barberry,barberry,shrub,woody plant,vascular plant
Japanese barberry,barberry,shrub,woody plant,vascular plant
katsura tree,angiospermous tree,tree,woody plant,vascular plant
laurel,angiospermous tree,tree,woody plant,vascular plant
sassafras oil,oil,lipid,macromolecule,molecule
purple anise,anise tree,tree,woody plant,vascular plant
star anise,anise tree,tree,woody plant,vascular plant
manglietia,angiospermous tree,tree,woody plant,vascular plant
tulip tree,angiospermous tree,tree,woody plant,vascular plant
peony,flower,angiosperm,spermatophyte,vascular plant
lesser celandine,flower,angiosperm,spermatophyte,vascular plant
sagebrush buttercup,wildflower,angiosperm,spermatophyte,vascular plant
pheasant's-eye,flower,angiosperm,spermatophyte,vascular plant
anemone,flower,angiosperm,spermatophyte,vascular plant
rue anemone,flower,angiosperm,spermatophyte,vascular plant
columbine,flower,angiosperm,spermatophyte,vascular plant
pine hyacinth,clematis,climber,vine,vascular plant
blue jasmine,clematis,climber,vine,vascular plant
pipestem clematis,clematis,climber,vine,vascular plant
curly-heads,clematis,climber,vine,vascular plant
golden clematis,clematis,climber,vine,vascular plant
scarlet clematis,clematis,climber,vine,vascular plant
leather flower,clematis,climber,vine,vascular plant
virgin's bower,clematis,climber,vine,vascular plant
traveler's joy,clematis,climber,vine,vascular plant
purple clematis,clematis,climber,vine,vascular plant
rocket larkspur,flower,angiosperm,spermatophyte,vascular plant
delphinium,flower,angiosperm,spermatophyte,vascular plant
nigella,flower,angiosperm,spermatophyte,vascular plant
pasqueflower,wildflower,angiosperm,spermatophyte,vascular plant
meadow rue,wildflower,angiosperm,spermatophyte,vascular plant
bay myrtle,wax myrtle,shrub,woody plant,vascular plant
bayberry wax,wax,lipid,macromolecule,molecule
zebrawood,wood,plant material,material,substance
cocuswood,wood,plant material,material,substance
courbaril,locust tree,tree,woody plant,vascular plant
courbaril copal,copal,natural resin,resin,organic compound
darling pea,subshrub,shrub,woody plant,vascular plant
shittah,acacia,tree,woody plant,vascular plant
black catechu,infusion,solution,mixture,substance
huisache,acacia,tree,woody plant,vascular plant
silk tree,albizzia,tree,woody plant,vascular plant
siris,albizzia,tree,woody plant,vascular plant
rain tree,albizzia,tree,woody plant,vascular plant
sabicu,wood,plant material,material,substance
Parkia javanica,nitta tree,tree,woody plant,vascular plant
honey mesquite,mesquite,shrub,woody plant,vascular plant
blue star,subshrub,shrub,woody plant,vascular plant
hedge thorn,carissa,shrub,woody plant,vascular plant
natal plum,carissa,shrub,woody plant,vascular plant
West Indian jasmine,frangipani,shrub,woody plant,vascular plant
Strophanthus kombe,strophanthus,shrub,woody plant,vascular plant
periwinkle,subshrub,shrub,woody plant,vascular plant
calamus oil,oil,lipid,macromolecule,molecule
taro,root,plant organ,plant part,natural object
ceriman,monstera,liana,vine,vascular plant
spathiphyllum,flower,angiosperm,spermatophyte,vascular plant
calla lily,flower,angiosperm,spermatophyte,vascular plant
common wolffia,watermeal,duckweed,aquatic plant,vascular plant
wild sarsaparilla,subshrub,shrub,woody plant,vascular plant
American spikenard,subshrub,shrub,woody plant,vascular plant
bristly sarsaparilla,subshrub,shrub,woody plant,vascular plant
ginseng,root,plant organ,plant part,natural object
baby's breath,flower,angiosperm,spermatophyte,vascular plant
rupturewort,groundcover,vegetation,collection,group
lychnis,flower,angiosperm,spermatophyte,vascular plant
sandwort,flower,angiosperm,spermatophyte,vascular plant
whitlowwort,groundcover,vegetation,collection,group
pearlwort,groundcover,vegetation,collection,group
soapwort,flower,angiosperm,spermatophyte,vascular plant
silene,flower,angiosperm,spermatophyte,vascular plant
cowherb,flower,angiosperm,spermatophyte,vascular plant
fig marigold,flower,angiosperm,spermatophyte,vascular plant
globe amaranth,flower,angiosperm,spermatophyte,vascular plant
bloodleaf,subshrub,shrub,woody plant,vascular plant
desert holly,saltbush,shrub,woody plant,vascular plant
quail bush,saltbush,shrub,woody plant,vascular plant
scarlet musk flower,flower,angiosperm,spermatophyte,vascular plant
sand verbena,wildflower,angiosperm,spermatophyte,vascular plant
trailing four o'clock,wildflower,angiosperm,spermatophyte,vascular plant
umbrellawort,flower,angiosperm,spermatophyte,vascular plant
four o'clock,flower,angiosperm,spermatophyte,vascular plant
hedgehog cactus,echinocactus,cactus,succulent,vascular plant
golden barrel cactus,echinocactus,cactus,succulent,vascular plant
nopal,prickly pear,cactus,succulent,vascular plant
tuna,prickly pear,cactus,succulent,vascular plant
queen of the night,night-blooming cereus,cactus,succulent,vascular plant
portulaca,flower,angiosperm,spermatophyte,vascular plant
red maids,wildflower,angiosperm,spermatophyte,vascular plant
Carolina spring beauty,flower,angiosperm,spermatophyte,vascular plant
spring beauty,flower,angiosperm,spermatophyte,vascular plant
Virginia spring beauty,flower,angiosperm,spermatophyte,vascular plant
siskiyou lewisia,wildflower,angiosperm,spermatophyte,vascular plant
bitterroot,wildflower,angiosperm,spermatophyte,vascular plant
pussy-paw,wildflower,angiosperm,spermatophyte,vascular plant
native pomegranate,caper,shrub,woody plant,vascular plant
caper tree,caper,shrub,woody plant,vascular plant
native orange,caper,shrub,woody plant,vascular plant
common caper,caper,shrub,woody plant,vascular plant
watercress,cress,crucifer,herb,vascular plant
Arabidopsis thaliana,cress,crucifer,herb,vascular plant
Arabidopsis lyrata,cress,crucifer,herb,vascular plant
rock cress,cress,crucifer,herb,vascular plant
tower mustard,cress,crucifer,herb,vascular plant
horseradish,root,plant organ,plant part,natural object
winter cress,cress,crucifer,herb,vascular plant
turnip,turnip plant,crucifer,herb,vascular plant
mustard oil,oil,lipid,macromolecule,molecule
chinese mustard,mustard,crucifer,herb,vascular plant
black mustard,mustard,crucifer,herb,vascular plant
rape,mustard,crucifer,herb,vascular plant
rape oil,oil,lipid,macromolecule,molecule
bittercress,cress,crucifer,herb,vascular plant
scurvy grass,cress,crucifer,herb,vascular plant
wallflower,flower,angiosperm,spermatophyte,vascular plant
prairie rocket,flower,angiosperm,spermatophyte,vascular plant
western wall flower,flower,angiosperm,spermatophyte,vascular plant
heliophila,flower,angiosperm,spermatophyte,vascular plant
damask violet,flower,angiosperm,spermatophyte,vascular plant
candytuft,flower,angiosperm,spermatophyte,vascular plant
common garden cress,cress,crucifer,herb,vascular plant
sweet alyssum,flower,angiosperm,spermatophyte,vascular plant
Malcolm stock,flower,angiosperm,spermatophyte,vascular plant
Virginian stock,flower,angiosperm,spermatophyte,vascular plant
schizopetalon,flower,angiosperm,spermatophyte,vascular plant
white mustard,mustard,crucifer,herb,vascular plant
field mustard,mustard,crucifer,herb,vascular plant
desert plume,subshrub,shrub,woody plant,vascular plant
poppy,flower,angiosperm,spermatophyte,vascular plant
corydalis,flower,angiosperm,spermatophyte,vascular plant
horn poppy,flower,angiosperm,spermatophyte,vascular plant
matilija poppy,subshrub,shrub,woody plant,vascular plant
ammobium,flower,angiosperm,spermatophyte,vascular plant
woolly daisy,wildflower,angiosperm,spermatophyte,vascular plant
burdock,subshrub,shrub,woody plant,vascular plant
blue-eyed African daisy,flower,angiosperm,spermatophyte,vascular plant
heartleaf arnica,wildflower,angiosperm,spermatophyte,vascular plant
Arnica montana,wildflower,angiosperm,spermatophyte,vascular plant
wormwood,subshrub,shrub,woody plant,vascular plant
sagebrush,subshrub,shrub,woody plant,vascular plant
tarragon,artemisia,shrub,woody plant,vascular plant
aster,flower,angiosperm,spermatophyte,vascular plant
daisy,flower,angiosperm,spermatophyte,vascular plant
bur marigold,subshrub,shrub,woody plant,vascular plant
Spanish needles,bur,pericarp,covering,natural object
false chamomile,wildflower,angiosperm,spermatophyte,vascular plant
Swan River daisy,flower,angiosperm,spermatophyte,vascular plant
calendula,flower,angiosperm,spermatophyte,vascular plant
China aster,flower,angiosperm,spermatophyte,vascular plant
stemless carline thistle,carline thistle,thistle,weed,vascular plant
common carline thistle,carline thistle,thistle,weed,vascular plant
safflower oil,oil,lipid,macromolecule,molecule
catananche,flower,angiosperm,spermatophyte,vascular plant
golden aster,wildflower,angiosperm,spermatophyte,vascular plant
chicory,root,plant organ,plant part,natural object
Canada thistle,plume thistle,thistle,weed,vascular plant
brook thistle,plume thistle,thistle,weed,vascular plant
bull thistle,plume thistle,thistle,weed,vascular plant
mistflower,flower,angiosperm,spermatophyte,vascular plant
brass buttons,flower,angiosperm,spermatophyte,vascular plant
billy buttons,flower,angiosperm,spermatophyte,vascular plant
hawk's-beard,wildflower,angiosperm,spermatophyte,vascular plant
dahlia,flower,angiosperm,spermatophyte,vascular plant
cape marigold,flower,angiosperm,spermatophyte,vascular plant
brittlebush,wildflower,angiosperm,spermatophyte,vascular plant
engelmannia,wildflower,angiosperm,spermatophyte,vascular plant
woolly sunflower,wildflower,angiosperm,spermatophyte,vascular plant
blue daisy,flower,angiosperm,spermatophyte,vascular plant
kingfisher daisy,flower,angiosperm,spermatophyte,vascular plant
gaillardia,wildflower,angiosperm,spermatophyte,vascular plant
gazania,flower,angiosperm,spermatophyte,vascular plant
desert sunflower,wildflower,angiosperm,spermatophyte,vascular plant
matchweed,subshrub,shrub,woody plant,vascular plant
goldenbush,wildflower,angiosperm,spermatophyte,vascular plant
sunflower,flower,angiosperm,spermatophyte,vascular plant
heliopsis,wildflower,angiosperm,spermatophyte,vascular plant
hairy golden aster,wildflower,angiosperm,spermatophyte,vascular plant
alpine gold,wildflower,angiosperm,spermatophyte,vascular plant
dwarf hulsea,wildflower,angiosperm,spermatophyte,vascular plant
burweed marsh elder,marsh elder,marsh plant,aquatic plant,vascular plant
goldfields,wildflower,angiosperm,spermatophyte,vascular plant
tidytips,flower,angiosperm,spermatophyte,vascular plant
hawkbit,wildflower,angiosperm,spermatophyte,vascular plant
edelweiss,wildflower,angiosperm,spermatophyte,vascular plant
north island edelweiss,wildflower,angiosperm,spermatophyte,vascular plant
African daisy,flower,angiosperm,spermatophyte,vascular plant
tahoka daisy,wildflower,angiosperm,spermatophyte,vascular plant
sticky aster,wildflower,angiosperm,spermatophyte,vascular plant
Mojave aster,wildflower,angiosperm,spermatophyte,vascular plant
common madia,wildflower,angiosperm,spermatophyte,vascular plant
blackfoot daisy,wildflower,angiosperm,spermatophyte,vascular plant
muskwood,daisybush,shrub,woody plant,vascular plant
New Zealand daisybush,daisybush,shrub,woody plant,vascular plant
guayule,subshrub,shrub,woody plant,vascular plant
American feverfew,subshrub,shrub,woody plant,vascular plant
cineraria,flower,angiosperm,spermatophyte,vascular plant
florest's cineraria,flower,angiosperm,spermatophyte,vascular plant
coneflower,flower,angiosperm,spermatophyte,vascular plant
Spanish oyster plant,golden thistle,thistle,weed,vascular plant
nodding groundsel,wildflower,angiosperm,spermatophyte,vascular plant
butterweed,wildflower,angiosperm,spermatophyte,vascular plant
arrowleaf groundsel,wildflower,angiosperm,spermatophyte,vascular plant
white-topped aster,flower,angiosperm,spermatophyte,vascular plant
goldenrod,wildflower,angiosperm,spermatophyte,vascular plant
stemless golden weed,wildflower,angiosperm,spermatophyte,vascular plant
stokes' aster,flower,angiosperm,spermatophyte,vascular plant
marigold,flower,angiosperm,spermatophyte,vascular plant
painted daisy,flower,angiosperm,spermatophyte,vascular plant
northern dune tansy,wildflower,angiosperm,spermatophyte,vascular plant
dandelion green,leaf,plant organ,plant part,natural object
stemless hymenoxys,wildflower,angiosperm,spermatophyte,vascular plant
old man of the mountain,wildflower,angiosperm,spermatophyte,vascular plant
Mexican sunflower,flower,angiosperm,spermatophyte,vascular plant
Easter daisy,flower,angiosperm,spermatophyte,vascular plant
yellow salsify,wildflower,angiosperm,spermatophyte,vascular plant
salsify,root,plant organ,plant part,natural object
meadow salsify,wildflower,angiosperm,spermatophyte,vascular plant
ursinia,flower,angiosperm,spermatophyte,vascular plant
mule's ears,wildflower,angiosperm,spermatophyte,vascular plant
white-rayed mule's ears,wildflower,angiosperm,spermatophyte,vascular plant
xeranthemum,flower,angiosperm,spermatophyte,vascular plant
zinnia,flower,angiosperm,spermatophyte,vascular plant
blazing star,flower,angiosperm,spermatophyte,vascular plant
bartonia,flower,angiosperm,spermatophyte,vascular plant
orchid,flower,angiosperm,spermatophyte,vascular plant
Hottentot bread,root,plant organ,plant part,natural object
chaffweed,subshrub,shrub,woody plant,vascular plant
cyclamen,flower,angiosperm,spermatophyte,vascular plant
sowbread,flower,angiosperm,spermatophyte,vascular plant
thrift,subshrub,shrub,woody plant,vascular plant
sea lavender,subshrub,shrub,woody plant,vascular plant
beach grass,grass,gramineous plant,herb,vascular plant
bunchgrass,grass,gramineous plant,herb,vascular plant
midgrass,grass,gramineous plant,herb,vascular plant
shortgrass,grass,gramineous plant,herb,vascular plant
sword grass,grass,gramineous plant,herb,vascular plant
tallgrass,grass,gramineous plant,herb,vascular plant
goat grass,grass,gramineous plant,herb,vascular plant
wheatgrass,grass,gramineous plant,herb,vascular plant
broom grass,grass,gramineous plant,herb,vascular plant
tall oat grass,grass,gramineous plant,herb,vascular plant
giant reed,reed,gramineous plant,herb,vascular plant
brome,grass,gramineous plant,herb,vascular plant
grama,grass,gramineous plant,herb,vascular plant
reed grass,grass,gramineous plant,herb,vascular plant
burgrass,grass,gramineous plant,herb,vascular plant
sandbur,grass,gramineous plant,herb,vascular plant
pampas grass,grass,gramineous plant,herb,vascular plant
plumed tussock,grass,gramineous plant,herb,vascular plant
Bermuda grass,grass,gramineous plant,herb,vascular plant
giant star grass,grass,gramineous plant,herb,vascular plant
orchard grass,grass,gramineous plant,herb,vascular plant
crabgrass,grass,gramineous plant,herb,vascular plant
lyme grass,grass,gramineous plant,herb,vascular plant
wild rye,grass,gramineous plant,herb,vascular plant
love grass,grass,gramineous plant,herb,vascular plant
plume grass,grass,gramineous plant,herb,vascular plant
fescue,grass,gramineous plant,herb,vascular plant
sheep fescue,grass,gramineous plant,herb,vascular plant
silver grass,grass,gramineous plant,herb,vascular plant
velvet grass,grass,gramineous plant,herb,vascular plant
creeping soft grass,grass,gramineous plant,herb,vascular plant
rye grass,grass,gramineous plant,herb,vascular plant
nimblewill,grass,gramineous plant,herb,vascular plant
dallisgrass,grass,gramineous plant,herb,vascular plant
Bahia grass,grass,gramineous plant,herb,vascular plant
knotgrass,grass,gramineous plant,herb,vascular plant
fountain grass,grass,gramineous plant,herb,vascular plant
feathertop,grass,gramineous plant,herb,vascular plant
reed canary grass,grass,gramineous plant,herb,vascular plant
canary grass,grass,gramineous plant,herb,vascular plant
hardinggrass,grass,gramineous plant,herb,vascular plant
timothy,grass,gramineous plant,herb,vascular plant
ditch reed,reed,gramineous plant,herb,vascular plant
bluegrass,grass,gramineous plant,herb,vascular plant
meadowgrass,grass,gramineous plant,herb,vascular plant
munj,grass,gramineous plant,herb,vascular plant
bluestem,grass,gramineous plant,herb,vascular plant
cordgrass,grass,gramineous plant,herb,vascular plant
dropseed,grass,gramineous plant,herb,vascular plant
rush grass,grass,gramineous plant,herb,vascular plant
St. Augustine grass,grass,gramineous plant,herb,vascular plant
cereal,grass,gramineous plant,herb,vascular plant
zoysia,grass,gramineous plant,herb,vascular plant
bamboo,wood,plant material,material,substance
chufa,sedge,marsh plant,aquatic plant,vascular plant
galingale,sedge,marsh plant,aquatic plant,vascular plant
nutgrass,sedge,marsh plant,aquatic plant,vascular plant
sand sedge,sedge,marsh plant,aquatic plant,vascular plant
cypress sedge,sedge,marsh plant,aquatic plant,vascular plant
cotton grass,sedge,marsh plant,aquatic plant,vascular plant
hardstem bulrush,sedge,marsh plant,aquatic plant,vascular plant
wool grass,sedge,marsh plant,aquatic plant,vascular plant
spike rush,sedge,marsh plant,aquatic plant,vascular plant
pandanus,natural fiber,fiber,material,substance
cat's-tail,cattail,marsh plant,aquatic plant,vascular plant
lesser bullrush,cattail,marsh plant,aquatic plant,vascular plant
yellow squash,summer squash,squash,vine,vascular plant
cymling,summer squash,squash,vine,vascular plant
spaghetti squash,summer squash,squash,vine,vascular plant
acorn squash,winter squash,squash,vine,vascular plant
hubbard squash,winter squash,squash,vine,vascular plant
turban squash,winter squash,squash,vine,vascular plant
butternut squash,winter squash,squash,vine,vascular plant
winter crookneck,winter squash,squash,vine,vascular plant
cushaw,winter squash,squash,vine,vascular plant
common mallow,mallow,shrub,woody plant,vascular plant
tall mallow,mallow,shrub,woody plant,vascular plant
